vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	D	78	51	65	8	10	1	12	6	51
2	C	78	52	67	1	1	15	7	52	3
3	B	78	67	86	0	0	3	67	5	3
4	A	78	13	17	36	46	13	9	14	6
5	A	78	70	90	3	3	70	2	1	2
6	B	78	23	29	33	42	8	23	9	5
7	A	78	28	36	30	38	28	4	9	7
8	C	78	26	33	13	16	2	29	26	8
9	C	78	55	71	13	16	2	2	55	6
10	B	78	56	72	3	3	4	56	2	13
11	A	78	57	73	4	5	57	1	6	10
12	C	78	52	67	3	3	18	3	52	2
13	D	78	28	36	6	7	34	1	9	28
14	B	78	33	42	16	20	4	33	14	11
15	D	78	47	60	8	10	1	13	9	47
16	C	78	3	4	17	21	9	15	3	34
17	D	78	5	6	7	8	13	10	43	5
18	B	78	23	29	19	24	9	23	12	15
19	D	78	8	10	20	25	18	12	20	8
20	D	78	21	27	12	15	2	31	12	21
21	A	78	41	53	11	14	41	3	4	19
22	A	78	48	62	19	24	48	8	1	2
23	A	78	54	69	7	8	54	4	12	1
24	A	78	56	72	4	5	56	6	5	7
25	A	78	55	71	12	15	55	5	5	1
26	A	78	40	51	20	25	40	1	13	4
27	C	78	50	64	8	10	2	7	50	11
28	B	78	40	51	4	5	9	40	2	23
29	A	78	47	60	18	23	47	4	6	3
30	A	78	27	35	14	17	27	17	17	3
