ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25
32571	1	C	A	A	B	D	B	X	B	D	C	A	X	A	B	B	C	D	C	A	D	B	C	X	B	B
33100	1	C	B	A	B	D	B	D	B	B	C	A	B	A	B	A	D	D	A	A	D	A	B	C	B	B
32384	1	C	B	A	B	D	B	D	B	B	C	A	X	X	B	A	C	X	C	X	D	B	D	X	D	X
33769	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	A	B	A	B	B
33777	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
33275	1	C	B	A	B	D	B	B	B	D	C	A	B	X	B	D	C	D	C	X	D	B	D	D	B	B
32187	1	C	B	A	B	D	B	D	B	B	C	A	B	X	B	A	C	D	C	A	D	B	D	C	A	B
32678	1	C	B	A	B	D	B	D	B	D	C	A	X	A	B	X	C	X	C	A	D	D	X	C	B	B
33539	1	C	B	A	B	D	B	B	B	X	C	A	X	X	B	C	B	X	C	A	A	B	X	C	A	X
33736	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
33425	1	C	C	A	B	D	B	C	B	D	C	A	B	X	B	A	C	D	C	A	A	D	A	C	B	B
