feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep
20xf12255	1	1	11	1	10	10	8-12	11	1	10	10	8-12
20xf25523	1	1	14	4	4	12	8-12	14	4	4	12	8-12
20xf48745	1	1	14	2	6	12	8-12	14	2	6	12	8-12
20xf79242	1	0	7	15	0	2	<8	7	15	0	2	<8
20xf51819	1	0	11	11	0	7	<8	11	11	0	7	<8
20xf23704	1	0	11	11	0	7	<8	11	11	0	7	<8
20xf29786	1	0	9	5	8	7	<8	9	5	8	7	<8
20xf38111	1	0	10	4	8	8	8-12	10	4	8	8	8-12
20xf58793	1	0	5	4	13	3	<8	5	4	13	3	<8
20xf36587	1	1	19	3	0	16	>=13	19	3	0	16	>=13
20xf13209	1	0	6	11	5	2	<8	6	11	5	2	<8
20xf72715	1	1	19	1	2	17	>=13	19	1	2	17	>=13
20xf13905	1	0	10	3	9	8	8-12	10	3	9	8	8-12
20xf40064	1	0	11	6	5	8	8-12	11	6	5	8	8-12
20xf73634	1	1	12	2	8	10	8-12	12	2	8	10	8-12
20xf70288	1	0	10	4	8	8	8-12	10	4	8	8	8-12
20xf83799	1	1	15	6	1	12	8-12	15	6	1	12	8-12
20xf92014	1	0	11	4	7	9	8-12	11	4	7	9	8-12
20xf18142	1	0	11	3	8	9	8-12	11	3	8	9	8-12
20xf46934	1	1	13	3	6	11	8-12	13	3	6	11	8-12
20xf69432	1	1	14	3	5	12	8-12	14	3	5	12	8-12
20xf24383	1	0	10	4	8	8	8-12	10	4	8	8	8-12
20xf94495	1	1	14	2	6	12	8-12	14	2	6	12	8-12
20xf59259	1	0	10	3	9	8	8-12	10	3	9	8	8-12
20xf76209	1	0	8	8	6	5	<8	8	8	6	5	<8
20xf94783	1	1	18	3	1	15	>=13	18	3	1	15	>=13
20xf85967	1	1	20	1	1	18	>=13	20	1	1	18	>=13
20xf16627	1	0	8	5	9	6	<8	8	5	9	6	<8
20xf57244	1	0	6	3	13	5	<8	6	3	13	5	<8
20xf90384	1	0	9	6	7	6	<8	9	6	7	6	<8
20xf77211	1	1	13	3	6	11	8-12	13	3	6	11	8-12
20xf21565	1	1	15	1	6	13	>=13	15	1	6	13	>=13
20xf75833	1	1	15	2	5	13	>=13	15	2	5	13	>=13
20xf44583	1	1	17	0	5	15	>=13	17	0	5	15	>=13
20xf68559	1	1	13	5	4	10	8-12	13	5	4	10	8-12
20xf80521	1	0	6	6	10	4	<8	6	6	10	4	<8
20xf59742	1	0	9	8	5	6	<8	9	8	5	6	<8
20xf53210	1	0	7	8	7	4	<8	7	8	7	4	<8
20xf35572	1	1	19	2	1	17	>=13	19	2	1	17	>=13
20xf66149	1	1	15	4	3	12	8-12	15	4	3	12	8-12
20xf76328	1	0	9	5	8	7	<8	9	5	8	7	<8
20xf17440	1	0	11	7	4	8	8-12	11	7	4	8	8-12
20xf85237	1	1	14	7	1	11	8-12	14	7	1	11	8-12
20xf19919	1	1	13	4	5	11	8-12	13	4	5	11	8-12
20xf92792	1	0	7	4	11	5	<8	7	4	11	5	<8
20xf30829	1	1	18	4	0	15	>=13	18	4	0	15	>=13
20xf83539	1	1	14	3	5	12	8-12	14	3	5	12	8-12
20xf31543	1	0	7	8	7	4	<8	7	8	7	4	<8
20xf47400	1	1	14	4	4	12	8-12	14	4	4	12	8-12
20xf11507	1	0	10	4	8	8	8-12	10	4	8	8	8-12
20xf36552	1	0	9	4	9	7	<8	9	4	9	7	<8
20xf88329	1	1	15	2	5	13	>=13	15	2	5	13	>=13
20xf47716	1	0	10	7	5	7	<8	10	7	5	7	<8
20xf57721	1	1	21	1	0	19	>=13	21	1	0	19	>=13
20xf99711	1	0	13	9	0	9	8-12	13	9	0	9	8-12
20xf65516	1	0	4	7	11	2	<8	4	7	11	2	<8
20xf83095	1	0	6	6	10	4	<8	6	6	10	4	<8
20xf44055	1	1	17	5	0	14	>=13	17	5	0	14	>=13
20xf51291	1	1	15	3	4	13	>=13	15	3	4	13	>=13
20xf37097	1	0	4	11	7	0	<8	4	11	7	0	<8
20xf64397	1	1	14	1	7	12	8-12	14	1	7	12	8-12
20xf56811	1	0	10	8	4	7	<8	10	8	4	7	<8
20xf49159	1	1	18	0	4	16	>=13	18	0	4	16	>=13
20xf43926	1	0	7	3	12	5	<8	7	3	12	5	<8
20xf32761	1	1	15	3	4	13	>=13	15	3	4	13	>=13
20xf87121	1	1	19	3	0	16	>=13	19	3	0	16	>=13
20xf33774	1	1	15	5	2	12	8-12	15	5	2	12	8-12
20xf80221	1	1	13	0	9	12	8-12	13	0	9	12	8-12
20xf28237	1	0	12	6	4	9	8-12	12	6	4	9	8-12
20xf92256	1	0	11	3	8	9	8-12	11	3	8	9	8-12
20xf21776	1	0	10	2	10	8	8-12	10	2	10	8	8-12
20xf77755	1	1	14	5	3	11	8-12	14	5	3	11	8-12
20xf60176	1	0	4	11	7	0	<8	4	11	7	0	<8
20xf63762	1	0	9	11	2	5	<8	9	11	2	5	<8
20xf58229	1	0	11	11	0	7	<8	11	11	0	7	<8
20xf77418	1	0	7	2	13	6	<8	7	2	13	6	<8
20xf18323	1	0	1	14	7	0	<8	1	14	7	0	<8
20xf29574	1	0	8	3	11	6	<8	8	3	11	6	<8
20xf27199	1	0	10	9	3	6	<8	10	9	3	6	<8
20xf68276	1	0	11	4	7	9	8-12	11	4	7	9	8-12
20xf22419	1	0	7	4	11	5	<8	7	4	11	5	<8
20xf90167	1	1	15	3	4	13	>=13	15	3	4	13	>=13
20xf43364	1	0	6	8	8	3	<8	6	8	8	3	<8
20xf10253	1	0	6	6	10	4	<8	6	6	10	4	<8
20xf16926	1	1	16	2	4	14	>=13	16	2	4	14	>=13
20xf98673	1	1	12	2	8	10	8-12	12	2	8	10	8-12
20xf27337	1	0	10	2	10	8	8-12	10	2	10	8	8-12
20xf65466	1	1	18	1	3	16	>=13	18	1	3	16	>=13
20xf38659	1	0	1	0	21	1	<8	1	0	21	1	<8
20xf38112	1	0	7	5	10	5	<8	7	5	10	5	<8
20xf72685	1	1	11	1	10	10	8-12	11	1	10	10	8-12
20xf24775	1	0	4	2	16	3	<8	4	2	16	3	<8
20xf86750	1	0	6	5	11	4	<8	6	5	11	4	<8
20xf76929	1	0	6	2	14	5	<8	6	2	14	5	<8
20xf13335	1	0	8	3	11	6	<8	8	3	11	6	<8
20xf51802	1	1	14	6	2	11	8-12	14	6	2	11	8-12
20xf45804	1	1	18	1	3	16	>=13	18	1	3	16	>=13
20xf94976	1	1	18	3	1	15	>=13	18	3	1	15	>=13
20xf40852	1	0	11	11	0	7	<8	11	11	0	7	<8
20xf66682	1	1	13	4	5	11	8-12	13	4	5	11	8-12
20xf71547	1	0	7	5	10	5	<8	7	5	10	5	<8
20xf22329	1	0	9	2	11	8	8-12	9	2	11	8	8-12
20xf78932	1	1	13	2	7	11	8-12	13	2	7	11	8-12
20xf55817	1	0	8	14	0	3	<8	8	14	0	3	<8
20xf70772	1	0	5	11	6	1	<8	5	11	6	1	<8
20xf14124	1	1	20	1	1	18	>=13	20	1	1	18	>=13
20xf36929	1	1	18	1	3	16	>=13	18	1	3	16	>=13
20xf94688	1	1	15	7	0	12	8-12	15	7	0	12	8-12
20xf94049	1	0	8	2	12	7	<8	8	2	12	7	<8
20xf30763	1	1	16	3	3	14	>=13	16	3	3	14	>=13
20xf87913	1	1	17	2	3	15	>=13	17	2	3	15	>=13
20xf81691	1	0	12	5	5	9	8-12	12	5	5	9	8-12
20xf92206	1	1	12	4	6	10	8-12	12	4	6	10	8-12
20xf50399	1	1	18	0	4	16	>=13	18	0	4	16	>=13
20xf18423	1	1	15	2	5	13	>=13	15	2	5	13	>=13
20xf51375	1	0	8	1	13	7	<8	8	1	13	7	<8
20xf93693	1	1	18	1	3	16	>=13	18	1	3	16	>=13
20xf74293	1	0	6	5	11	4	<8	6	5	11	4	<8
20xf73914	1	0	8	14	0	3	<8	8	14	0	3	<8
20xf30602	1	0	9	7	6	6	<8	9	7	6	6	<8
20xf54986	1	0	8	3	11	6	<8	8	3	11	6	<8
20xf28769	1	1	18	0	4	16	>=13	18	0	4	16	>=13
20xf24087	1	1	18	3	1	15	>=13	18	3	1	15	>=13
20xf28628	1	0	7	10	5	3	<8	7	10	5	3	<8
20xf92520	1	1	17	5	0	14	>=13	17	5	0	14	>=13
20xf57071	1	1	18	3	1	15	>=13	18	3	1	15	>=13
20xf31122	1	1	15	3	4	13	>=13	15	3	4	13	>=13
20xf58558	1	1	16	5	1	13	>=13	16	5	1	13	>=13
20xf86551	1	1	15	2	5	13	>=13	15	2	5	13	>=13
20xf69208	1	1	13	4	5	11	8-12	13	4	5	11	8-12
20xf27286	1	0	11	7	4	8	8-12	11	7	4	8	8-12
20xf77503	1	1	15	1	6	13	>=13	15	1	6	13	>=13
20xf88689	1	1	15	5	2	12	8-12	15	5	2	12	8-12
20xf71440	1	1	16	1	5	14	>=13	16	1	5	14	>=13
20xf56829	1	1	15	3	4	13	>=13	15	3	4	13	>=13
20xf20009	1	0	11	11	0	7	<8	11	11	0	7	<8
20xf49461	1	1	14	4	4	12	8-12	14	4	4	12	8-12
20xf87233	1	0	9	8	5	6	<8	9	8	5	6	<8
20xf34964	1	1	18	1	3	16	>=13	18	1	3	16	>=13
20xf66881	1	1	12	4	6	10	8-12	12	4	6	10	8-12
20xf37379	1	1	22	0	0	20	>=13	22	0	0	20	>=13
20xf32129	1	0	8	1	13	7	<8	8	1	13	7	<8
20xf27081	1	1	12	1	9	11	8-12	12	1	9	11	8-12
20xf28679	1	0	12	5	5	9	8-12	12	5	5	9	8-12
20xf36358	1	0	8	7	7	5	<8	8	7	7	5	<8
20xf43014	1	0	9	0	13	8	8-12	9	0	13	8	8-12
20xf12354	1	0	10	7	5	7	<8	10	7	5	7	<8
20xf35963	1	1	18	4	0	15	>=13	18	4	0	15	>=13
20xf90781	1	1	19	3	0	16	>=13	19	3	0	16	>=13
20xf86015	1	1	19	1	2	17	>=13	19	1	2	17	>=13
20xf92094	1	1	14	4	4	12	8-12	14	4	4	12	8-12
